Data Integration and Interoperability,Description,Databricks Answer,Notes
"Ability to tag (tables/column) with access control information (ex. key security restriction metadata tags, etc.)","Can Databricks provide the ability to tag (tables/column) with access control information (ex. key security restriction metadata tags, etc.)",,
Ability to capture lineage of data flowing between systems (from both databases & ETL tools),Can Databricks provide the ability to capture lineage of data flowing between systems (from both databases & ETL tools),,
Ability to capture & view transformation of data flowing between systems (from both databases & ETL tools),Can Databricks provide the ability to capture & view transformation of data flowing between systems (from both databases & ETL tools),,
Ability for users to bulk import and export all cataloged metadata (including all properties),Can Databricks provide the ability for users to bulk import and export all cataloged metadata (including all properties),,
"Bi-directional Integration with other services (NextLabs, Ping Federated, BigID, reference data tools, etc.)","Can Databricks provide a Bi-directional Integration with other Lockheed Martin services (NextLabs, Ping Federated, BigID, reference data tools, etc.)",,
Catalog can limit objects/tables metadata is pulled from for a given system (e.g. curated list of tables that are most relevant),Can Databricks provide the ability for the Data Catalog to ensure objects/tables metadata is pulled from for a given system (e.g. curated list of tables that are most relevant),,
"Metadata freshness indicators are available (update date from the source, last update date in catalog, etc.)","Can Databricks ensure metadata freshness indicators are available (update date from the source, last update date in catalog, etc.)",,
Simple methodology for developing connectors to data sources that are not available out of the box,Can Databricks provide a simple methodology for developing connectors to data sources that are not available out of the box,,
"Identify obsolete metadata: Ability to verify if a dataset/metadata is still needed & accurate.  Ex. if metadata is not modified for a defined period (generalize the workflow requirements - what is OOTB vs ability to build new) (i.e. if metadata is obsolete or no longer being used/needed, then review if it is needed in the catalog)","Can Databricks provide the ability to identify obsolete metadata: ability to verify if a dataset/metadata is still needed & accurate.  Ex. if metadata is not modified for a defined period (generalize the workflow requirements - what is OOTB vs ability to build new) (i.e. if metadata is obsolete or no longer being used/needed, then review if it is needed in the catalog)",,
Ability to record and trace lineage back to System of Record / Business Processes for data assets that are  cataloged,Can Databricks provide the ability to record and trace lineage back to System of Record / Business Processes for data assets that are  cataloged,,
Ability to identify district users/email in the catalog and find what they are responsible for so that relationships and roles are easier to understand and manage,Can Databricks provide the ability to identify distinct users/email in the catalog and find what they are responsible for so that relationships and roles are easier to understand and manage,,
,,,
Data Security and Compliance,Description,Databricks Answer,Notes
"Limit information system access to authorized users, processes acting on behalf of authorized users, or devices (including other information systems).","Can Databricks limit information system access to authorized users, processes acting on behalf of authorized users, or devices (including other information systems).",,
Limit information system access to the types of transactions and functions that authorized users are permitted to execute.,Can Databricks limit information system access to the types of transactions and functions that authorized users are permitted to execute.,,
Provide privacy and security notices consistent with applicable CUI rules.,Can Databricks provide privacy and security notices consistent with applicable CUI rules.,,
"Employ the principle of least privilege, including for specific security functions and privileged accounts.","Can Databricks employ the principle of least privilege, including for specific security functions and privileged accounts.",,
Use non-privileged accounts or roles when accessing non-security functions.,Can Databricks use non-privileged accounts or roles when accessing non-security functions.,,
Limit unsuccessful logon attempts.,Can Databricks limit unsuccessful logon attempts.,,
Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,Can Databricks employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,,
Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,Can Databricks separate the duties of individuals to reduce the risk of malevolent activity without collusion.,,
Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,Can Databricks prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,,
Terminate (automatically) a user session after a defined condition.,Can Databricks terminate (automatically) a user session after a defined condition.,,
Authorize remote execution of privileged commands and remote access to security-relevant information.,Can Databricks authorize remote execution of privileged commands and remote access to security-relevant information.,,
Ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions.,Can Databricks ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions.,,
"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.","Can Databricks create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",,
Alert in the event of an audit logging process failure.,Can Databricks alert in the event of an audit logging process failure.,,
"Collect audit information (e.g., logs) into one or more central repositories.","Can Databricks collect audit information (e.g., logs) into one or more central repositories.",,
"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.","Can Databricks protect audit information and audit logging tools from unauthorized access, modification, and deletion.",,
Limit management of audit logging functionality to a subset of privileged users.,Can Databricks limit management of audit logging functionality to a subset of privileged users.,,
"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.","Can Databricks correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.",,
Provide audit record reduction and report generation to support on-demand analysis and reporting.,Can Databricks provide audit record reduction and report generation to support on-demand analysis and reporting.,,
Automate analysis of audit logs to identify and act on critical indicators (TTPs) and/or organizationally defined suspicious activity.,Can Databricks automate analysis of audit logs to identify and act on critical indicators (TTPs) and/or organizationally defined suspicious activity.,,
Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities.,Can Databricks employ the principle of least functionality by configuring organizational systems to provide only essential capabilities.,,
"Authenticate (or verify) the identities of those users, processes, or devices, as a prerequisite to allowing access to organizational information systems.","Can Databricks authenticate (or verify) the identities of those users, processes, or devices, as a prerequisite to allowing access to organizational information systems.",,
Enforce a minimum password complexity and change of characters when new passwords are created.,Can Databricks enforce a minimum password complexity and change of characters when new passwords are created.,,
Prohibit password reuse for a specified number of generations.,Can Databricks prohibit password reuse for a specified number of generations.,,
Allow temporary password use for system logons with an immediate change to a permanent password.,Can Databricks allow temporary password use for system logons with an immediate change to a permanent password.,,
Store and transmit only cryptographically-protected passwords.,Can Databricks store and transmit only cryptographically-protected passwords.,,
Obscure feedback of authentication information.,Can Databricks obscure feedback of authentication information.,,
Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,Can Databricks use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,,
Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,Can Databricks employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,,
Prevent reuse of identifiers for a defined period.,Can Databricks provide prevent reuse of identifiers for a defined period.,,
Remediate vulnerabilities in accordance with risk assessments.,Can Databricks remediate vulnerabilities in accordance with risk assessments.,,
Use encrypted sessions for the management of network devices.,Can Databricks use encrypted sessions for the management of network devices.,,
Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.,Can Databricks employ FIPS-validated cryptography when used to protect the confidentiality of CUI.,,
"Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems.","Can Databricks employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems.",,
Separate user functionality from system management functionality.,Can Databricks separate user functionality from system management functionality.,,
Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,Can Databricks implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,,
Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.,Can Databricks terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.,,
Establish and manage cryptographic keys for cryptography employed in organizational systems.,Can Databricks establish and manage cryptographic keys for cryptography employed in organizational systems.,,
Protect the authenticity of communications sessions.,Can Databricks protect the authenticity of communications sessions.,,
"Employ mechanisms to analyze executable code and scripts (e.g., sandbox) traversing Internet network boundaries or other organizationally defined boundaries. ","Can Databricks employ mechanisms to analyze executable code and scripts (e.g., sandbox) traversing Internet network boundaries or other organizationally defined boundaries. ",,
Isolate administration of organizationally defined high-value critical network infrastructure components and servers.,Can Databricks isolate administration of organizationally defined high-value critical network infrastructure components and servers.,,
Identify unauthorized use of organizational systems.,Can Databricks identify unauthorized use of organizational systems.,,
Analyze system behavior to detect and mitigate execution of normal system commands and scripts that indicate malicious actions.,Can Databricks analyze system behavior to detect and mitigate execution of normal system commands and scripts that indicate malicious actions.,,
Monitor individuals and system components on an ongoing basis for anomalous or suspicious behavior.,Can Databricks monitor individuals and system components on an ongoing basis for anomalous or suspicious behavior.,,
,,,
Data Science,Description,Databricks Answer,Notes
Ability to support multiple programming and scripting languages across the platform,Can Databricks provide the ability to support multiple programming and scripting languages across the platform,,
Ability to support multiple programming interfaces (IDE's),Can Databricks provide the ability to support multiple programming interfaces (IDE's),,
"Ability to support user environment compute and memory options (e.g., number of cores and memory quantity options). ","Can Databricks provide the ability to support user environment compute and memory options (e.g., number of cores and memory quantity options). ",,
Ability to integrate with standard Project Version Control solutions. ,Can Databricks provide the ability to integrate with standard Project Version Control solutions. ,,
Ability to troubleshoot project issues. ,Can Databricks provide the ability to troubleshoot project issues. ,,
Ability to allow collaboration through project reviews. ,Can Databricks provide the ability to allow collaboration through project reviews. ,,
Allow visibility into project activity. ,Can Databricks allow visibility into project activity. ,,
Allow for a project overview description and contextual information.,Can Databricks allow for a project overview description and contextual information.,,
Allow for project collaboration and archiving.,Can Databricks allow for project collaboration and archiving.,,
Allow for user security on projects,Can Databricks allow for user security on projects,,
Allow for the discovery of projects within the larger collection of projects.,Can Databricks allow for the discovery of projects within the larger collection of projects.,,
Allows for the secure addition and masking of user environment variables.,Can Databricks allow for the secure addition and masking of user environment variables.,,
Allow for the Export of environment or project configuration files.,Can Databricks allow for the export of environment or project configuration files.,,
Allows for Job Scheduling within projects. ,Can Databricks allow for Job Scheduling within projects. ,,
Allows for the Export or Download (or basic sharing ) of Job Results & and Project Outputs,Can Databricks allow for the Export or Download (or basic sharing ) of Job Results & and Project Outputs,,
Publishing Model API's,Can Databricks provide the ability to publish Model API's,,
,,,
Data Discovery,Description,Databricks Answer,Notes
"Ability to discover data:  1) by type: structured, semi-structured, and unstructured data types, and 2) across different data repositories (data storage) types:  File, RDBMS, No-SQL (e.g., Columnar, Graph, Time Series DB's), Object Stores, etc.","Can Databricks provide the ability to discover data:  1) by type: structured, semi-structured, and unstructured data types, and 2) across different data repositories (data storage) types:  File, RDBMS, No-SQL (e.g., Columnar, Graph, Time Series DB's), Object Stores, etc.",,
Demonstrate the ability to classify data based on policy and/or rule definitions,Can Databricks demonstrate the ability to classify data based on policy and/or rule definitions,,
"Demonstrate the ability to correlate data, across data types, to provide an indication of the likelihood (or strength) of the relationship between data","Can Databricks demonstrate the ability to correlate data, across data types, to provide an indication of the likelihood (or strength) of the relationship between data",,
Ability to connect to data catalog solution and export metadata regarding discovered data to update/inform the catalog.,Can Databricks provide the ability to connect to data catalog solution and export metadata regarding discovered data to update/inform the catalog.,,
Build a searchable data catalog that contains an entry for every object scanned. ,Can Databricks build a searchable data catalog that contains an entry for every object scanned. ,,
Ability to conduct ongoing data discovery of new and existing repositories within configured data connections,Can Databricks provide the ability to conduct ongoing data discovery of new and existing repositories within configured data connections,,
"The solution should be accurate in its discovery of data elements and also provide the ability to measure results and  ""tune"" the system to improve accuracy and performance. ","Can Databricks be accurate in its discovery of data elements and also provide the ability to measure results and  ""tune"" the system to improve accuracy and performance. ",,
The solution should also be able to import/export classification rules and policies into/from the data catalog.,Can Databricks be able to import/export classification rules and policies into/from the data catalog.,,
"The system shall allow the application of ""tags"", as metadata, to be applied to objects within the data catalog in an automated fashion once the data has been classified.","Can Databricks allow the application of ""tags"", as metadata, to be applied to objects within the data catalog in an automated fashion once the data has been classified.",,
